aX,aY,aZ,gX,gY,gZ
0.549,0.377,0.778,-10.193,13.977,10.254
0.542,0.337,0.781,-12.817,15.625,11.230
0.544,0.305,0.765,-9.399,16.418,14.832
0.547,0.302,0.734,-2.502,16.357,19.958
0.547,0.317,0.708,5.249,15.564,25.879
0.542,0.360,0.715,11.780,13.855,30.945
0.537,0.387,0.714,18.433,12.146,35.156
0.528,0.438,0.704,20.081,11.902,38.513
0.541,0.469,0.653,21.240,13.000,40.955
0.549,0.494,0.584,17.822,14.343,41.809

0.976,0.054,1.780,-6.287,-35.889,2.869
1.010,0.064,1.975,-10.681,-32.288,2.014
0.972,0.090,2.159,-13.306,-29.175,-1.892
0.916,0.082,2.400,-21.057,-24.963,-8.118
0.809,0.111,2.708,-38.086,-15.137,-16.907
0.598,0.094,3.037,-50.049,3.845,-28.137
0.324,0.089,3.330,-57.861,32.593,-41.382
0.047,0.065,3.536,-63.049,68.604,-54.810
-0.245,-0.024,3.617,-58.960,108.215,-66.833
-0.578,-0.134,3.584,-50.598,147.278,-76.172
-0.900,-0.297,3.435,-34.668,184.998,-78.430
-1.168,-0.503,3.141,-9.094,219.299,-71.594
-1.377,-0.718,2.757,18.066,246.704,-57.068
-1.572,-0.892,2.351,37.170,266.724,-38.147
-1.718,-1.035,1.967,47.485,280.029,-17.883
-1.796,-1.151,1.628,52.490,286.987,4.395
-1.824,-1.155,1.360,44.312,289.307,31.982
-1.840,-1.109,1.135,37.415,289.917,64.636
-1.961,-1.001,0.847,33.508,295.105,100.525
-2.019,-0.855,0.485,16.541,307.129,137.939
-1.952,-0.656,0.149,-18.127,326.233,173.035
-1.901,-0.400,-0.158,-57.251,344.971,201.294
-1.915,-0.142,-0.417,-86.548,357.788,220.520
-1.870,0.076,-0.565,-97.717,363.403,232.666
-1.844,0.227,-0.627,-83.313,362.488,242.126
-1.797,0.341,-0.606,-33.997,354.797,250.977
-1.992,0.362,-0.609,38.879,342.224,260.803
-2.105,0.373,-0.711,113.098,329.773,274.414
-2.181,0.374,-0.910,182.129,315.735,296.326
-2.208,0.372,-1.034,236.389,294.128,329.468
-2.311,0.422,-1.007,263.062,267.334,368.896
-2.464,0.566,-1.044,266.785,242.371,413.940
-2.531,0.776,-1.134,243.286,224.548,463.379
-2.530,1.114,-1.096,184.509,211.609,504.883
-2.569,1.450,-1.095,124.390,199.524,532.654
-2.430,1.868,-1.225,68.909,189.758,549.255
-2.168,2.334,-1.308,29.724,178.406,555.969
-2.020,2.755,-1.419,32.654,152.222,550.232
-1.902,3.014,-1.553,63.293,108.521,532.837
-1.687,3.129,-1.502,89.233,52.856,502.930
-1.621,3.274,-1.301,104.370,-6.409,461.670
-1.602,3.378,-1.044,123.535,-57.922,414.001
-1.569,3.358,-0.802,150.452,-94.849,364.685
-1.578,3.340,-0.627,169.800,-118.896,313.354
-1.483,3.313,-0.502,177.124,-135.193,264.832
-1.306,3.362,-0.421,169.373,-146.790,223.206
-1.192,3.509,-0.415,161.621,-153.992,184.448
-1.142,3.670,-0.450,154.724,-160.217,143.250
